id,user,text,reply,label
100028,3228675765,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100029,1181002932952719362,RT @LokisNokia: Just got my tickets 🥰 #WakandaForever  https://t.co/n6VtPTjv9I,-1,WakandaForever
100030,1515658989643743232,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100031,4165753754,"RT @theblackpanther: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theate…",-1,WakandaForever
100032,804786584252018690,RT @joshuaneall: I AM READY. #WakandaForever https://t.co/1wsms0Rgd4,-1,WakandaForever
100033,2424656015,"RT @inMARVEL_: El legado de Black Panther, mires a donde mires, es fuerte. Tanto como la propia nación de Wakanda 🙅🏾‍♂️🖤  #BlackPanther #Wa…",-1,WakandaForever
100034,251236644,RT @MCU_Direct: The #MCU's new #BlackPanther  Watch #WakandaForever's new trailer: https://t.co/vLbTOJtPLr https://t.co/qYdgLpofB7,-1,WakandaForever
100035,1517510604440932354,RT @3isfelix: #chriseanrock #Blueface #WakandaForever #TiktoClockGMA https://t.co/uxTN8ePrpc,-1,WakandaForever
100036,595723500,RT @NamorNews: THIS LOOKS SO COOL !   #Namor #WakandaForever https://t.co/6qn3vOCYpY,-1,WakandaForever
100037,1426639856554283009,RT @MasterTainment: I'm telling y'all.  Both Klaue and Tony Stark will return.  It's one of the significances of Shuri and Riri teaming up…,-1,WakandaForever
100038,130335494,RT @thealexrossart: #WakandaForever https://t.co/knFEhBrNy8,-1,WakandaForever
100039,1312283319791484928,RT @theblackpanther: #WakandaForever. November 11. https://t.co/4kmmiMYWsX,-1,WakandaForever
100040,251236644,RT @MarvelStudios: #WakandaForever. November 11. https://t.co/nKD4YxxOJ3,-1,WakandaForever
100041,1264781159453659137,RT @MarvelStudios: #WakandaForever. November 11. https://t.co/nKD4YxxOJ3,-1,WakandaForever
100042,805579079730728960,RT @primetimebrostv: The legacy continues.   #Ironheart #WakandaForever https://t.co/24F2emN9s1,-1,WakandaForever
100043,1282069731793686528,The most joy I’ve felt today has been watching black YouTubers reacting to the #BlackPanther #WakandaForever trailer. As if I wasn’t hyped before their excitement is infectious. #RepresentationMatters https://t.co/wJ8VEs4TVs,-1,WakandaForever
100044,1477504173772050438,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
100045,911417118700208128,RT @FunkoPOPsNews: Up close and OOB with the new Black Panther Funko POP! Wakanda Forever ~ thanks IG clueless.collectibles ~ #WakandaForev…,-1,WakandaForever
100046,2539018538,"""His people do not call him general or king. They call him K'uk'ulkan. The feather serpent god. Killing him will risk eternal war."" - M'Baku  🔥 #WakandaForever https://t.co/hV0mpI6oh9",-1,WakandaForever
100047,28980371,Cannot wait! Black Panther #WakandaForever  https://t.co/otl3B4od2o,-1,WakandaForever
100048,1466828767511330818,RT @MarvelStudios: #WakandaForever. November 11. https://t.co/nKD4YxxOJ3,-1,WakandaForever
100049,1263179742037053441,RT @MarvelStudios: #WakandaForever. November 11. https://t.co/nKD4YxxOJ3,-1,WakandaForever
100050,1393308770089029632,Voy voy voy!😍😍 #WakandaForever https://t.co/GgyalW1vvr,-1,WakandaForever
100051,1426639856554283009,RT @MCU_Direct: #WakandaForever's Namor is different from his comic counterpart in 4 key ways! Our breakdown: https://t.co/6fivLTHbTc https…,-1,WakandaForever
100052,1383290574,RT @Arvind099973: Ramayan in different countries #OmRaut #dissapointed #Bollywood #WakandaForever #DissapointingAdipurush https://t.co/9fG3…,-1,WakandaForever
100053,3098685534,"RT @Marvel: The legacy continues. Tickets are now on sale for Marvel Studios’ Black Panther: #WakandaForever, only in theaters November 11.…",-1,WakandaForever
100054,738315157911285760,RT @Universo616_: 🔥🖤¡CURIOSIDAD!🖤🔥  Namor es considerado por Marvel como el primer mutante y además fue el primer superheroe en los cómics…,-1,WakandaForever
100055,1426639856554283009,RT @MrNiceGuy513: Aiyoo ☠️  #WakandaForever #Namor https://t.co/G44bu3lIFL,-1,WakandaForever
100056,2302478530,RT @aspirezno: Imperiux Rex!! Hoy un dibujete bien fresquito y recién salido del mar  @TenochHuerta  #inktober #inktober2022 #aspireznoart…,-1,WakandaForever
100057,1038397608413286400,"RT @WymanKaluba: ""Only the most broken people can be great leaders""  #WakandaForever",-1,WakandaForever
100058,1037998485352656901,"RT @MarvelStudios: “Show them who we are.” Watch the brand-new trailer for Marvel Studios’ Black Panther: #WakandaForever, only in theaters…",-1,WakandaForever
